Term,Correlation,F-stat,p-val,FDR
~ TRE17,0.0330203255680368,20.198800469451452,7.0219800354264815e-06,0.0008147793750452
~ prostate cancer gene 17,0.0330203255680368,20.19880046945144,7.0219800354264815e-06,0.0008147793750452
~ repair,-0.0329765062427654,20.14516844613526,7.221426708617473e-06,0.0008340244027985
~ ethnic,0.0329585786242747,20.123246817937243,7.304577262398872e-06,0.0008397220277899
~ ran binding protein 2,-0.0329194176986979,20.075403054925925,7.489406260306343e-06,0.000857002059215
~ shelterin,-0.0328745316584464,20.020635059422204,7.706756258820622e-06,0.000877827819554
~ e5,-0.0328401505898856,19.978735533240695,7.877303464082782e-06,0.000893156722907
penetrant,0.032779470314018,19.904893120361553,8.187147236138649e-06,0.0009240684228207
actually,0.0327367894557065,19.853036535780863,8.412024783705665e-06,0.0009451537891592
normal pregnancy,-0.0326577708077328,19.75720919759275,8.844031507654698e-06,0.0009892168755251
